Date,Open,High,Low,Close,Adj Close,Volume,Day
2016-12-29,135.289993,136.259995,134.690002,135.369995,124.581688,21312900,824
2016-12-30,135.600006,135.630005,134.399994,134.850006,124.103157,28399300,825
2017-01-03,136.490005,136.830002,134.5,135.520004,124.719772,29792400,826
2017-01-04,136.050003,137.960007,136.009995,137.779999,126.799622,34499400,827
2017-01-05,137.490005,137.759995,135.509995,136.190002,125.336342,30286900,828
2017-01-06,136.410004,136.710007,135.679993,135.690002,124.876198,23436000,829
2017-01-09,135.539993,135.720001,134.5,134.800003,124.057098,24077900,830
2017-01-10,135,136.380005,134.759995,136.089996,125.244316,21684900,831
2017-01-11,136.229996,136.789993,135.419998,136.330002,125.465202,27428800,832
2017-01-12,136.160004,136.220001,133.589996,135.279999,124.498878,41844200,833
2017-01-13,135.649994,136.970001,135.649994,136.259995,125.400772,27784500,834
2017-01-17,135.600006,135.690002,134.130005,134.410004,123.698212,28197800,835
2017-01-18,134.759995,134.940002,133.949997,134.850006,124.103157,21289700,836
2017-01-19,135.139999,135.440002,133.169998,133.75,123.09082,34105900,837
2017-01-20,133.75,134.880005,133.75,134.440002,123.725807,29286100,838
2017-01-23,134.029999,134.679993,133.119995,133.880005,123.210464,20537000,839
2017-01-24,134.339996,136.279999,134.220001,135.929993,125.097023,34313800,840
2017-01-25,137.059998,137.550003,136.949997,137.210007,126.27507,29127300,841
2017-01-26,137.339996,137.5,136.419998,136.660004,125.768906,22255600,842
2017-01-27,136.770004,137.039993,135.649994,136.190002,125.336342,19467800,843
2017-01-30,135.229996,135.240005,133.240005,134.289993,123.587746,40464400,844
2017-01-31,133.869995,135.559998,133.479996,135.229996,124.452866,32945000,845
2017-02-01,136.220001,136.869995,134.699997,135.149994,124.379211,30010500,846
2017-02-02,135.300003,135.669998,134.490005,134.809998,124.06633,19935700,847
2017-02-03,135.990005,136.979996,135.509995,136.869995,125.962151,24534100,848
2017-02-06,136.399994,136.779999,135.429993,135.839996,125.014252,23691500,849
2017-02-07,135.820007,136.470001,134.770004,135.240005,124.462059,30342200,850
2017-02-08,135.240005,135.240005,133.889999,135,124.241203,32956900,851
2017-02-09,135,137.25,135,136.899994,125.989769,28267600,852
2017-02-10,137.789993,138.369995,137.199997,137.940002,126.946884,27287600,853
2017-02-13,138.770004,139.210007,138.089996,138.300003,127.278214,23245100,854
2017-02-14,137.940002,138.949997,137.610001,138.759995,127.701546,27145000,855
2017-02-15,138.190002,139.770004,138.070007,139.589996,128.465393,20253500,856
2017-02-16,139.460007,139.839996,138.210007,139.199997,128.106461,24613600,857
2017-02-17,138.449997,139.160004,138.25,139.110001,128.023682,26703200,858
2017-02-21,139.380005,140.320007,139.380005,140.199997,129.026794,21353500,859
2017-02-22,140,140.020004,139.25,139.580002,128.456161,14890800,860
2017-02-23,139.960007,140.009995,137.690002,138.75,127.692337,24596200,861
2017-02-24,137.460007,138.649994,137.300003,138.649994,127.600311,24512300,862
2017-02-27,138.339996,140,138.210007,140,128.842712,28269000,863
2017-02-28,139.380005,139.479996,137.759995,137.839996,126.854843,40184100,864
2017-03-01,139.649994,140.860001,139.520004,140.360001,129.174026,35719800,865
2017-03-02,140.330002,140.360001,138.639999,138.75,127.692337,25937000,866
2017-03-03,138.800003,139.419998,137.880005,138.649994,127.600311,30989800,867
2017-03-06,137.779999,137.970001,136.990005,137.699997,126.726021,23892100,868
2017-03-07,137.399994,137.740005,136.610001,136.800003,125.897705,29711300,869
2017-03-08,137.279999,137.619995,135.779999,135.899994,125.069427,34115100,870
2017-03-09,135.830002,136.490005,134.889999,135.360001,124.572502,35223800,871
2017-03-10,136.289993,136.309998,134.839996,135.960007,125.124702,39516600,872
2017-03-13,135.649994,136.789993,135.649994,136.279999,125.419174,21295000,873
2017-03-14,135.75,135.830002,134.559998,135.630005,124.821007,30037800,874
2017-03-15,136.289993,138.020004,135.970001,137.729996,126.753632,31230400,875
2017-03-16,138.220001,138.509995,137.559998,137.910004,126.919258,25306600,876
2017-03-17,138.139999,138.729996,137.309998,138.460007,127.425438,33324600,877
2017-03-20,138.279999,138.520004,137.369995,137.860001,126.873238,19091200,878
2017-03-21,138.509995,138.600006,133.919998,133.970001,123.293251,61869000,879
2017-03-22,133.710007,134.309998,132.779999,134,123.320847,46332600,880
2017-03-23,134,135.699997,133.639999,134.779999,124.038719,37764600,881
2017-03-24,134.949997,135.470001,133.860001,134.490005,124.128258,33514400,882
2017-03-27,132.759995,135.070007,132.399994,134.740005,124.358978,35596700,883
2017-03-28,134.279999,135.899994,134.139999,135.789993,125.328072,26891900,884
2017-03-29,135.699997,136.490005,135.300003,136.229996,125.734207,22119500,885
2017-03-30,136.320007,137.380005,136.259995,137.259995,126.684875,25792900,886
2017-03-31,137.419998,138.169998,136.940002,137.479996,126.887894,29434300,887
2017-04-03,137.970001,138.100006,135.600006,136.029999,125.549561,38834900,888
2017-04-04,135.929993,136.550003,135.350006,135.869995,125.401924,25642600,889
2017-04-05,136.830002,137.429993,134.080002,134.330002,123.980598,44968800,890
2017-04-06,134.539993,135.630005,133.830002,135.580002,125.134277,41012100,891
2017-04-07,135.210007,136.029999,134.75,135.520004,125.078918,24300200,892
2017-04-10,135.470001,136.850006,135.160004,135.820007,125.355782,22779900,893
2017-04-11,135.270004,136.919998,135.080002,136.899994,126.35257,32589200,894
2017-04-12,136.639999,136.699997,134.919998,135.039993,124.635841,25700800,895
2017-04-13,134.880005,135.369995,133.660004,133.720001,123.417587,30207000,896
2017-04-17,134.070007,135.320007,133.679993,135.289993,124.866608,18278800,897
2017-04-18,134.720001,135.460007,134.160004,135.320007,124.89431,24553300,898
2017-04-19,135.690002,136.960007,135.539993,135.789993,125.328072,34627600,899
2017-04-20,136.339996,137.669998,136.149994,137.520004,126.924835,31934400,900
2017-04-21,137.240005,137.550003,136.710007,137.210007,126.638687,29386000,901
2017-04-24,139.080002,139.339996,138.490005,138.919998,128.216934,33836900,902
2017-04-25,140.240005,140.880005,140.089996,140.270004,129.462891,32751700,903
2017-04-26,140.169998,141.820007,140.130005,140.990005,130.127457,41669200,904
2017-04-27,141.339996,141.800003,140.479996,140.949997,130.090546,23004300,905
2017-04-28,141.029999,141.169998,139.039993,139.059998,128.34613,31113900,906
2017-05-01,139.639999,140.289993,138.779999,139.860001,129.084518,20925200,907
